State,Annual average
OK,114650
PA,128833.33
MA,1197391.67
NC,398308.33
CA,1977241.67
PA,124875
CA,277041.67
NY,139566.67
CA,894216.67
IN,89108.33
CO,326600
TN,203041.67
MA,261233.33
IL,149608.33
GA,177000
FL,162008.33
MN,297916.67
FL,153125
AR,168483.33
WA,220458.33
AL,135383.33
CA,1316991.67
LA,205708.33
MS,210783.33
WY,225075
PA,183025
NC,125841.67
MO,122983.33
WI,163008.33
OH,78566.67
MO,249925
FL,147216.67
IL,106283.33
AZ,268233.33
NC,301433.33
PA,162625
FL,266241.67
FL,414108.33
AL,246550
KS,176750
VA,246250
OH,139808.33
NY,362350
NY,164341.67
FL,190466.67
FL,175150
MD,325250
NY,168191.67
PA,102600
IN,103458.33
NY,121825
TX,106508.33
VA,224033.33
FL,290550
MO,109491.67
MA,666241.67
RI,305300
NY,283058.33
SC,154675
FL,168950
MI,64625
MO,214300
WA,367258.33
NY,212250
MD,376425
WI,98866.67
KY,239916.67
FL,127033.33
OH,89316.67
KY,132783.33
LA,205516.67
LA,82766.67
OK,88633.33
MO,91325
NJ,319216.67
MN,120750
CT,410533.33
IA,106391.67
IL,198425
WV,81958.33
IL,127425
PA,74841.67
OK,81325
ID,360475
MD,391958.33
OR,178525
PA,204550
MS,105400
NY,217191.67
NY,291116.67
MO,436283.33
NY,635808.33
OH,118466.67
CA,1033366.67
RI,276316.67
NH,236566.67
NY,82433.33
NY,437666.67
TX,181583.33
VA,683958.33
OH,89333.33
WA,152183.33
WV,68766.67
MI,177333.33
MA,242566.67
MO,101141.67
TX,618150
WA,603466.67
IN,223341.67
WI,130025
OH,191033.33
KS,74158.33
PA,174708.33
LA,121308.33
TX,280916.67
LA,173375
TX,246225
NY,236100
NC,60800
WV,201591.67
PA,252358.33
IN,224266.67
MI,189233.33
PA,134233.33
NY,420641.67
NC,330258.33
CT,165966.67
NJ,471541.67
TN,83916.67
KY,77691.67
IN,104250
CA,302575
CO,337541.67
PA,587483.33
CA,163900
TX,103691.67
CA,1067200
WI,278883.33
OH,212300
TX,147241.67
MT,220066.67
AL,157758.33
FL,73083.33
IN,185400
NV,187133.33
CA,694991.67
IL,63775
KS,238108.33
NC,164716.67
MD,431450
IL,175316.67
OK,90008.33
PA,213500
IL,71116.67
NC,388541.67
MA,242808.33
TX,93408.33
CA,1567141.67
NJ,275958.33
PA,162716.67
TX,108533.33
CA,732225
WV,115550
IL,185775
OK,327150
PA,153000
GA,136775
CA,542308.33
NY,159366.67
VA,301975
OK,80350
CO,707175
NC,191100
FL,218691.67
AL,105158.33
FL,123408.33
TX,73000
MO,828850
NC,59758.33
MT,206475
WA,186283.33
NC,160900
NC,73875
PA,78291.67
IL,117950
PA,229950
IL,101125
TX,143741.67
CA,146775
PA,168066.67
FL,123750
NH,406250
WA,112025
IL,187733.33
SC,1462266.67
NJ,311516.67
FL,110883.33
NC,578175
TX,146791.67
MA,290141.67
NE,162975
IN,120833.33
LA,217016.67
TX,167041.67
MA,307691.67
VA,64033.33
FL,80375
CA,890158.33
PA,183233.33
NC,170675
MI,278558.33
FL,184875
MI,202050
PA,183825
LA,158641.67
PA,111041.67
FL,242683.33
MI,85691.67
OK,86883.33
MD,313991.67
PA,125566.67
GA,179091.67
IN,168733.33
CA,3122725
NJ,169050
MS,125750
IL,114025
WA,205566.67
NJ,217075
OH,209725
FL,350600
TX,180225
OR,276825
NJ,338041.67
PA,179833.33
MI,190608.33
MI,116308.33
KS,61850
OK,219083.33
PA,64983.33
OH,129183.33
WY,840741.67
OK,75225
LA,129458.33
FL,273183.33
OH,315241.67
TX,134258.33
NC,143591.67
MA,443575
VA,661175
OH,90891.67
MO,157275
NJ,146991.67
IN,126650
MN,88291.67
TX,151216.67
NY,94300
TX,76375
ME,111450
TN,254866.67
TX,210275
PA,168200
CA,797483.33
PA,158633.33
OH,97175
WI,143566.67
PA,180400
OK,143433.33
CA,1348016.67
PA,124708.33
IA,149166.67
MO,63683.33
TX,98908.33
LA,143758.33
MA,480266.67
NJ,369258.33
CA,446100
FL,206750
VA,199650
NC,89275
CT,334166.67
PA,536775
CA,276783.33
VA,728783.33
NY,105808.33
NY,358241.67
NJ,432666.67
NC,158841.67
KS,77350
NE,130366.67
SC,72966.67
NJ,187666.67
KY,231566.67
ID,235325
NE,249450
NJ,294958.33
MA,597525
MN,240908.33
NJ,176450
AL,526066.67
AL,98050
MO,261166.67
CA,922933.33
NY,349316.67
NC,80191.67
FL,517633.33
AZ,252975
MA,382825
NC,83366.67
IA,116983.33
CO,343975
DE,259566.67
IL,115075
KS,487608.33
OR,382308.33
ID,146050
AZ,126233.33
MO,196333.33
MD,349516.67
LA,50683.33
IL,189533.33
NV,301016.67
NY,192958.33
ND,144741.67
MO,277900
PA,65391.67
OH,121466.67
NC,190366.67
IL,792166.67
OK,79891.67
VA,410600
IL,117908.33
FL,162625
NJ,484433.33
IL,163275
ME,424200
FL,183900
KY,94975
CA,140875
NM,96708.33
SC,123516.67
TX,107616.67
NY,214041.67
PA,147325
OH,58466.67
CO,285783.33
SC,117941.67
CA,388825
NV,417175
NC,289933.33
GA,195050
IL,111950
CO,285641.67
NJ,237425
TX,142816.67
CA,173783.33
LA,72291.67
NJ,515391.67
ME,158450
GA,150741.67
MD,543808.33
VA,154375
FL,179066.67
MO,141250
MI,140391.67
VA,175525
FL,154233.33
FL,751716.67
IL,528441.67
WA,606391.67
OH,161400
NV,334125
PA,234950
FL,602658.33
AL,238675
FL,172791.67
AL,148725
OH,161608.33
IL,212941.67
OK,57400
NJ,670166.67
NJ,187900
FL,155058.33
MA,186483.33
WA,415958.33
NY,1181216.67
WI,120066.67
AL,259158.33
IL,230508.33
WA,433025
MA,349433.33
MI,199475
TN,196991.67
NY,415058.33
MA,414933.33
NY,520158.33
NC,224391.67
IL,60416.67
NY,294566.67
NY,397816.67
PA,117625
MT,121283.33
MA,394933.33
WI,124383.33
LA,123966.67
IL,106591.67
MD,383683.33
MD,381708.33
FL,417041.67
OH,135558.33
CA,327591.67
MA,310300
CA,608833.33
GA,127491.67
IL,70425
OR,472175
CO,322841.67
MD,246975
AL,151766.67
OH,81691.67
VA,495108.33
IL,278433.33
AZ,438791.67
KS,285983.33
FL,148516.67
TX,214966.67
TN,114425
KS,85858.33
CO,208266.67
FL,180500
AZ,203850
OH,177866.67
NH,71833.33
NJ,93525
AR,121050
PA,287266.67
NC,138091.67
ID,314733.33
PA,134750
CA,648375
PA,164566.67
IL,383391.67
CA,226583.33
WA,135525
FL,115475
NY,85500
ID,974858.33
PA,96600
NC,179933.33
TX,497566.67
TN,87733.33
MI,268308.33
AR,115441.67
NJ,413783.33
TX,102016.67
WA,867733.33
MA,402550
CA,582025
AK,235408.33
RI,375175
FL,274700
IN,230758.33
UT,317316.67
MD,338316.67
NJ,174966.67
SC,52833.33
NY,132933.33
TX,390016.67
PA,186366.67
CA,236850
NY,1203450
MO,59241.67
CA,1343241.67
NJ,646350
AZ,506741.67
IN,133450
NJ,487916.67
GA,151333.33
TN,148041.67
CA,2821091.67
NJ,243750
PA,120100
MO,180900
TX,69941.67
NV,409366.67
AL,65925
CA,621466.67
IA,226508.33
NM,224233.33
CA,371841.67
IA,211483.33
OR,191666.67
NJ,255000
TX,164041.67
NJ,162041.67
FL,165125
SD,230058.33
UT,214175
OR,398966.67
NJ,287283.33
LA,56150
PA,359366.67
OH,158125
NY,180100
MI,154941.67
CT,241266.67
PA,84725
MA,232841.67
FL,439375
NC,140941.67
CA,3368900
PA,197350
NE,269758.33
TX,137883.33
OR,160975
OH,400608.33
MA,944341.67
WY,229408.33
CA,691366.67
NH,271250
NC,144033.33
NC,293175
MI,102808.33
PA,107108.33
IN,62983.33
RI,372266.67
NE,170325
WI,123466.67
NY,85075
TN,96241.67
TX,203241.67
FL,89625
MA,685183.33
IN,223450
MN,247516.67
NY,870291.67
DE,304600
MS,82858.33
WY,159866.67
VA,182350
CA,2400891.67
NC,55983.33
TN,177625
NC,129700
AL,124825
CO,405191.67
IN,148825
MN,106850
VT,270700
PA,404816.67
NY,384575
NY,255958.33
NY,170875
VA,84700
WA,270066.67
CA,574033.33
SC,163058.33
MN,115916.67
MI,124350
OH,217200
TX,243750
NE,94775
TX,139275
SC,95425
OH,85083.33
PA,643375
MI,223616.67
MN,195175
NC,336033.33
MO,294100
IN,98525
VA,180050
IL,158233.33
WA,141900
NJ,1446541.67
NM,433991.67
CA,1451250
AL,115925
OK,187500
NH,306050
MI,140533.33
NJ,425158.33
PA,162108.33
MO,130125
NJ,451125
NJ,448208.33
IL,96383.33
SC,144158.33
NH,372825
LA,133066.67
OH,122975
OK,77741.67
MI,131733.33
ME,213800
OK,71225
TX,150416.67
IN,86183.33
NY,642133.33
NY,116758.33
OH,229858.33
OH,227700
MI,114675
FL,233025
MA,657783.33
MS,152775
NY,96225
MD,355841.67
AL,66091.67
MS,166875
NY,144066.67
NY,338941.67
NC,270041.67
KY,364200
IN,132300
TX,92691.67
MD,295833.33
SD,197533.33
KS,111641.67
MO,167475
AL,222866.67
MA,430975
CA,303158.33
IL,146558.33
IL,131358.33
OR,156133.33
MA,244633.33
CA,537675
IL,199333.33
CA,226591.67
TX,207750
AL,208950
NY,162900
NY,419958.33
OH,102400
GA,155600
NJ,744816.67
PA,169083.33
FL,88183.33
MI,87333.33
MN,246925
MD,385725
TN,118733.33
IN,140683.33
AL,69516.67
WA,344366.67
WV,105616.67
FL,472350
TX,120566.67
VA,177050
FL,194541.67
AZ,288516.67
IL,298975
WA,211041.67
MA,388150
IL,625791.67
GA,69950
MI,65966.67
GA,487675
WA,239766.67
PA,94291.67
GA,236241.67
ME,126308.33
NE,161175
WA,342608.33
IL,312658.33
CO,82683.33
MN,165066.67
OR,278683.33
GA,101850
WI,252500
CA,3549833.33
CA,312133.33
IL,211175
IL,82391.67
CA,169758.33
NC,167533.33
GA,107975
SC,165041.67
UT,253941.67
TX,161633.33
TX,208750
NV,150941.67
MS,63416.67
OR,219600
CA,207116.67
NY,281425
AL,199866.67
NJ,614550
NY,122591.67
NM,246491.67
CA,690666.67
DE,178566.67
MA,327483.33
NY,910300
NJ,380108.33
NY,865091.67
GA,150391.67
IN,55658.33
OH,158400
NJ,307791.67
CA,310225
NY,166091.67
NJ,196008.33
MD,287391.67
IN,199066.67
NC,202858.33
VA,74316.67
NY,81575
MA,264200
NH,249941.67
WI,166941.67
AZ,214008.33
FL,145241.67
NY,179941.67
MN,267025
TN,149016.67
GA,125408.33
MA,465375
NY,894450
OH,100975
NY,776533.33
PA,640400
TN,96541.67
OH,116575
OH,142075
NJ,342075
MO,150616.67
TX,97041.67
WV,82683.33
NY,627750
OH,190391.67
OR,301891.67
SC,118250
NJ,978458.33
VA,192841.67
GA,141783.33
GA,170525
LA,144958.33
NJ,485266.67
WI,250366.67
OK,76591.67
NY,62041.67
AL,133558.33
IL,81566.67
NJ,289975
IL,168341.67
VA,130400
WV,129000
OR,259116.67
MA,147600
MD,325916.67
NY,149525
KY,111500
OK,161991.67
OH,150191.67
WA,519858.33
MS,176416.67
OR,413733.33
PA,169650
WA,213700
PA,164691.67
FL,134466.67
FL,402900
NJ,345716.67
MD,241066.67
CA,1271791.67
FL,277000
MI,286666.67
IN,140291.67
IL,80050
VA,87675
TX,300183.33
NY,337358.33
AL,182375
OK,73116.67
TX,145966.67
NJ,326891.67
CT,302900
PA,483825
MS,189358.33
KY,150441.67
CA,646500
AR,193500
TX,369783.33
ID,150175
CO,308408.33
CA,272258.33
AK,306283.33
MO,66716.67
PA,220933.33
MN,244641.67
TN,79033.33
TX,70316.67
FL,243050
IL,454758.33
CO,1059766.67
TX,64275
WA,328708.33
NV,282091.67
ME,433466.67
NJ,136250
NY,572650
ME,134200
PA,282975
NC,160200
CA,444175
TX,95100
OH,83050
NC,131533.33
TN,138416.67
CO,678108.33
NY,217941.67
CA,190608.33
MD,338941.67
AZ,191891.67
CA,278208.33
OK,56541.67
NC,100933.33
IN,71658.33
PA,256616.67
MI,210250
VA,145141.67
NC,61216.67
UT,207500
NJ,510316.67
MD,121175
KS,465541.67
AL,254250
WV,182408.33
CA,160908.33
VA,230450
MI,176200
MO,162608.33
VA,91391.67
FL,62408.33
CT,184575
RI,299983.33
PA,184991.67
MD,321283.33
MI,164950
NC,113791.67
NY,158683.33
OK,289708.33
MA,1160616.67
TN,107125
TX,697133.33
NY,262991.67
MD,232475
IN,195891.67
TX,140850
AK,277483.33
PA,149216.67
MN,168891.67
NE,131958.33
FL,251283.33
KS,309900
KS,186458.33
SC,144575
OK,61058.33
IN,74925
WA,320983.33
WA,343683.33
CA,131366.67
CT,184533.33
MI,132591.67
WI,281475
MI,97941.67
NJ,1184841.67
VA,190866.67
OH,54283.33
NC,125525
CA,1201258.33
NY,281541.67
NY,937466.67
CA,189900
NY,286350
MO,238541.67
NY,497516.67
NY,153633.33
IN,88391.67
NY,93166.67
MO,204008.33
LA,179641.67
TN,104175
HI,844341.67
NJ,419458.33
MS,112633.33
MD,299758.33
TN,70258.33
NY,865058.33
MI,167041.67
TX,177891.67
MA,292458.33
PA,118208.33
IN,184858.33
MS,80466.67
TX,87525
MN,256491.67
NJ,241708.33
TN,197541.67
MN,137341.67
ID,174375
NC,153600
TX,84258.33
CA,1042575
NY,240341.67
MA,387016.67
MI,163283.33
MS,104800
CA,350216.67
MA,254091.67
AL,151433.33
NJ,216483.33
NJ,289675
AZ,131308.33
FL,553833.33
GA,84383.33
ME,337533.33
IA,68891.67
CO,438716.67
MI,179666.67
MA,306983.33
TX,108616.67
TN,74258.33
MD,354033.33
OH,167916.67
NY,717150
OK,216441.67
AZ,245083.33
NY,490958.33
TN,113116.67
CA,710058.33
NH,264650
MS,184908.33
MI,96641.67
IL,236100
IN,154550
AZ,329716.67
NC,1227233.33
CA,822683.33
OR,264041.67
TX,285525
FL,126433.33
IL,368016.67
MA,474816.67
AL,116925
FL,544325
NJ,240350
IN,98500
KS,66233.33
TX,86533.33
MD,203258.33
TN,123875
OR,237100
PA,158191.67
MA,846158.33
NJ,639400
NC,138100
FL,157116.67
MA,137650
FL,211100
GA,208975
MA,361716.67
MA,389575
CT,121183.33
FL,556550
NJ,561691.67
VT,127075
PA,381933.33
NV,558800
OH,59625
LA,172133.33
WA,343608.33
MI,164925
WI,288625
GA,241658.33
CO,368408.33
ME,441308.33
AL,129791.67
OH,145975
MD,367983.33
OR,290616.67
MA,1493050
KY,100591.67
CA,1365066.67
CO,470541.67
NH,173500
PA,105425
ME,426000
NY,301858.33
FL,365691.67
LA,79216.67
OK,109750
NJ,405408.33
TX,112591.67
AR,175650
GA,135141.67
NC,150966.67
MT,222983.33
SC,79425
MA,207200
ME,154216.67
VT,257466.67
NJ,177358.33
NY,834900
CT,359225
NY,434766.67
MA,585641.67
PA,53008.33
TX,201416.67
IL,217100
IL,549258.33
AZ,198241.67
TN,62050
IL,241808.33
WV,154583.33
VA,399433.33
TN,82591.67
KS,195333.33
NY,115683.33
ID,434125
FL,194566.67
NJ,421133.33
CA,2466583.33
WA,248916.67
LA,248600
WA,298575
RI,263083.33
KS,156658.33
NJ,563308.33
IA,125833.33
CO,341083.33
VA,233666.67
PA,427883.33
MA,942441.67
MI,174083.33
IN,131933.33
MA,468191.67
GA,118766.67
OH,123325
AZ,546008.33
GA,190533.33
MA,627258.33
NY,119458.33
PA,145900
PA,137491.67
NC,152416.67
PA,193716.67
OH,134625
SC,112891.67
TX,163225
NY,241675
AL,131766.67
OH,170558.33
MO,204358.33
OH,131583.33
IL,162575
DE,242475
KS,223416.67
PA,128816.67
NJ,300541.67
VA,292675
WI,103350
WA,212116.67
MD,269416.67
UT,279183.33
PA,107650
IN,108925
HI,933083.33
VA,356191.67
PA,148258.33
OH,119150
WA,303916.67
FL,148508.33
CA,346750
PA,117775
ID,236100
VA,226125
NY,360908.33
NY,252491.67
PA,136200
IL,157875
CA,569625
CA,360566.67
OR,259158.33
OK,120350
TX,311250
DE,749725
NC,206175
MN,451691.67
MD,731066.67
MA,374766.67
SC,120066.67
IN,176558.33
SC,105666.67
PA,197883.33
MD,212758.33
OK,82866.67
NJ,428700
WA,271500
TX,279466.67
CO,492675
NJ,486900
NC,94258.33
VA,194583.33
FL,126391.67
TN,126375
SD,204191.67
MO,142433.33
MO,129483.33
TX,129100
CO,283075
TN,137783.33
MS,150941.67
IA,63233.33
IL,289241.67
CA,307216.67
OH,118325
NY,379241.67
KY,99250
NY,168633.33
NY,117225
TX,79408.33
TX,131783.33
NJ,990925
NY,165458.33
MD,201158.33
NC,119416.67
WA,140691.67
CA,3101058.33
GA,113366.67
IL,66183.33
WA,289600
ME,191400
GA,130091.67
MO,74450
WA,328416.67
PA,56625
TN,125708.33
IL,173275
IL,141641.67
IN,82250
IL,244041.67
CA,236583.33
IL,101183.33
NY,149925
TX,199466.67
NY,589075
MI,194575
TX,125908.33
WA,374941.67
VA,382516.67
IL,307075
MI,235158.33
IL,164358.33
LA,42333.33
IA,104700
MA,1020041.67
OH,157350
NJ,226033.33
MD,293200
OK,144841.67
OH,136108.33
TX,365900
IN,144333.33
PA,195383.33
MI,123691.67
CA,326008.33
AL,136016.67
TX,147966.67
OR,300875
TN,142458.33
OR,432333.33
CO,347166.67
AZ,325850
CA,658150
TN,118175
IA,233616.67
NJ,388775
NJ,268300
MI,229083.33
MO,80833.33
TX,77325
WA,434983.33
NJ,632466.67
MA,358425
NJ,449416.67
VA,174433.33
MN,548983.33
NC,415033.33
UT,1246791.67
NY,633058.33
GA,162866.67
MA,141808.33
PA,220291.67
NY,700766.67
OH,111958.33
MO,166100
NY,228458.33
NC,254775
NJ,183091.67
WI,141400
TN,177941.67
OH,134183.33
WI,113891.67
NY,130350
NC,124316.67
FL,142841.67
MN,270616.67
TN,98591.67
OH,59408.33
NH,294183.33
MD,248975
GA,145150
UT,307375
NJ,226308.33
NY,338683.33
WI,224258.33
WV,106266.67
IN,75558.33
OK,110825
MA,429691.67
TN,130350
MT,169641.67
TN,100950
CA,250708.33
NJ,208591.67
VA,327216.67
AR,140916.67
PA,59800
SC,118466.67
GA,89408.33
VA,299025
AK,393500
MO,136508.33
AZ,226700
PA,127566.67
AL,104208.33
MI,134150
MN,172908.33
NY,197133.33
NY,354508.33
VA,80816.67
ND,134983.33
WI,193775
MI,125375
TX,126566.67
FL,85116.67
AL,164500
WA,397666.67
NY,133691.67
OK,150283.33
LA,53383.33
NJ,299775
MD,256858.33
TX,154450
CA,262925
IN,196258.33
MA,391683.33
MI,208691.67
PA,309450
VA,84233.33
TX,135058.33
UT,235791.67
AL,123425
NJ,177141.67
CA,432008.33
MI,183550
PA,165333.33
LA,40275
AL,146608.33
OH,156650
NH,353900
KY,74850
WA,233900
IN,80825
AL,167000
TX,76500
MO,63583.33
TX,138616.67
PA,236116.67
MO,78916.67
IN,180566.67
LA,143566.67
CA,192525
PA,145641.67
PA,133900
OH,158891.67
MO,205966.67
NM,84283.33
NY,74075
NY,649541.67
PA,194966.67
MN,171483.33
SC,174825
CA,892325
LA,102625
GA,148658.33
AL,114875
SC,52350
MO,114600
OR,493708.33
NH,371716.67
TX,80075
PA,150925
VT,223408.33
CA,287683.33
CA,192958.33
MN,790283.33
NC,124950
CA,368483.33
NY,637950
NC,177525
ME,232925
NV,168650
NJ,377783.33
MD,457966.67
ID,337933.33
PA,200233.33
IL,268058.33
WA,214716.67
PA,150475
LA,186233.33
MA,222950
MA,895733.33
FL,208791.67
AZ,482383.33
KS,244608.33
PA,94883.33
SC,87150
SC,274150
GA,144775
OR,356883.33
NY,74100
IL,246858.33
OK,179916.67
NY,81608.33
GA,117016.67
TX,86441.67
MI,124283.33
TX,332875
TN,106075
LA,56783.33
TX,61400
MA,344191.67
WA,525041.67
NH,204500
MS,183725
OK,100083.33
PA,108950
NJ,289616.67
CO,446033.33
MA,295925
MA,383033.33
AR,115333.33
NY,593641.67
AL,147633.33
NJ,368275
NC,306816.67
WI,235033.33
LA,40933.33
NV,307016.67
NJ,443733.33
AZ,368058.33
FL,447183.33
PA,251025
PA,139158.33
WI,260491.67
FL,279116.67
TX,273558.33
WA,350666.67
WI,165341.67
ND,146475
KS,139925
CA,868266.67
PA,111333.33
AK,419700
NJ,446600
WI,80458.33
CA,167950
PA,129325
WI,250941.67
MN,204125
PA,145075
FL,77166.67
PA,233033.33
TX,291266.67
OH,70583.33
FL,648500
GA,138258.33
CO,767058.33
GA,54516.67
MS,74100
OH,134525
HI,524600
PA,164100
NY,115750
CT,740866.67
NJ,511483.33
PA,164083.33
WA,352658.33
NY,341316.67
FL,258600
MN,227350
CO,1555933.33
AL,152008.33
GA,117650
AL,172083.33
WI,177600
WY,244258.33
NJ,211316.67
KS,416750
TX,130983.33
WI,182008.33
SC,201333.33
IL,95600
KS,172441.67
MA,528041.67
NE,277050
ME,361933.33
NY,431450
AL,110016.67
IN,143875
MI,98116.67
NY,726775
IN,77191.67
FL,118866.67
GA,122391.67
NC,123900
MN,204675
CA,220291.67
TN,142058.33
IL,115691.67
WI,277508.33
GA,288275
OH,64291.67
LA,110550
NY,745883.33
NC,68433.33
IL,204800
LA,186658.33
MN,121625
UT,404725
IA,155283.33
AL,115383.33
CA,1633525
PA,95141.67
WI,265566.67
NJ,537600
NY,223200
PA,189666.67
IN,116033.33
WI,212533.33
CA,1047158.33
NH,192725
NJ,729341.67
MS,99283.33
NY,177050
DE,238100
MA,657941.67
PA,201550
KS,237716.67
PA,62200
PA,227966.67
TN,174441.67
AZ,94300
AL,166250
IA,164125
CA,1186366.67
NJ,394983.33
MO,117191.67
WI,135625
TX,228516.67
NJ,281600
WV,108900
WA,492441.67
IN,110241.67
NC,83741.67
WI,146500
NY,249816.67
LA,146075
TX,121033.33
CT,401091.67
NY,116466.67
AR,141750
TX,260483.33
NH,160108.33
CA,421216.67
KS,185058.33
MN,228433.33
NH,327691.67
WI,185341.67
NY,164708.33
NJ,294183.33
NY,286758.33
CA,263658.33
GA,186558.33
PA,125841.67
MS,130825
OH,112733.33
GA,81358.33
OH,205241.67
NC,135058.33
PA,124133.33
NC,565133.33
PA,124375
NC,133016.67
NC,107708.33
PA,159916.67
MI,134166.67
MO,117683.33
MN,205541.67
IL,193908.33
KS,161075
MI,189616.67
IA,176500
RI,306025
MN,158983.33
FL,94375
MI,64158.33
IN,172483.33
OR,164008.33
PA,133558.33
MN,274166.67
IA,138808.33
MI,113216.67
IL,166383.33
MO,164158.33
WV,178016.67
IA,242433.33
TX,208341.67
TN,113608.33
MN,276416.67
WI,142916.67
PA,123058.33
WA,224991.67
VA,83291.67
NY,95175
NY,466541.67
PA,155358.33
WA,308250
NY,1179250
WV,48616.67
NJ,539375
NY,130491.67
GA,138033.33
MN,353908.33
MN,85691.67
GA,116525
AZ,207716.67
NH,263933.33
PA,136075
LA,107858.33
TX,192225
PA,218933.33
MD,224908.33
WI,240333.33
KS,76608.33
ME,163858.33
WA,435066.67
MS,91650
WV,67158.33
OH,151833.33
MI,298075
CA,673891.67
TX,101858.33
OR,359750
NJ,549641.67
VA,91058.33
MI,112083.33
MN,160458.33
OR,203800
NC,157775
IL,165841.67
MA,375366.67
AR,86258.33
MA,709041.67
FL,612275
MI,278791.67
IL,77750
NC,217791.67
TX,210891.67
TN,84466.67
KS,179341.67
ME,246475
OH,211525
CA,976525
CT,229733.33
NY,375741.67
MA,705500
VA,202125
WV,87491.67
TX,76416.67
MA,151158.33
NY,160491.67
OH,151683.33
ID,189716.67
MI,190158.33
IL,169308.33
AZ,164558.33
NJ,243308.33
IA,234983.33
PA,147250
TN,219150
MO,132141.67
LA,72841.67
NV,192241.67
PA,206050
NJ,94475
CT,167258.33
NC,154300
GA,226841.67
NJ,716875
PA,439558.33
DE,263775
NJ,259941.67
NC,95791.67
MO,100033.33
NJ,206100
IN,287216.67
NY,127066.67
NJ,147191.67
OR,270108.33
WI,206741.67
CO,317566.67
LA,80941.67
IA,162350
NY,223941.67
MT,210283.33
TX,197300
AR,111033.33
MA,435883.33
FL,419566.67
CA,814825
NC,197683.33
VA,224566.67
CA,340066.67
PA,200591.67
IL,450858.33
LA,182366.67
TX,205408.33
NM,189041.67
TX,246808.33
CA,215041.67
MN,199458.33
TN,90683.33
NY,143816.67
MS,101333.33
OH,78416.67
IN,105616.67
PA,305333.33
MO,332850
ID,215558.33
NY,1118941.67
NY,415050
IN,107733.33
MO,264525
CA,459500
MA,365475
CA,532541.67
SC,144125
NJ,153008.33
NY,342891.67
FL,95216.67
MI,228850
MN,253716.67
NY,211925
FL,116975
PA,205883.33
PA,158550
AZ,167641.67
NY,89616.67
OH,155283.33
NH,337900
WV,208550
WV,279541.67
LA,87400
LA,89783.33
CO,229308.33
NJ,510991.67
NY,420616.67
FL,351283.33
AL,80233.33
WI,217541.67
CO,824941.67
VT,196383.33
MI,96308.33
NJ,233400
SC,113541.67
TX,142425
WA,352550
TX,111375
WY,170708.33
CA,531216.67
MA,862341.67
MN,205675
NC,226691.67
TN,115883.33
IL,163616.67
TN,121033.33
AL,105933.33
MA,417033.33
PA,194991.67
FL,110841.67
OH,198100
MI,246333.33
FL,108191.67
MS,216716.67
MI,280208.33
MI,112416.67
MN,154550
OR,172708.33
FL,161825
NJ,302233.33
NY,226108.33
GA,156666.67
MI,230425
CA,440950
VA,173950
MA,329116.67
TX,122833.33
TX,100550
GA,104283.33
CA,193133.33
MN,240458.33
IN,85141.67
MN,198700
NC,145308.33
ME,231550
ID,205341.67
CA,816608.33
NJ,179741.67
NY,140475
VA,440958.33
IL,85891.67
NJ,292500
CT,174725
MN,211466.67
MI,95925
NC,90741.67
SC,157616.67
TN,87583.33
PA,206125
ME,228100
KS,71941.67
MI,171775
IL,182725
LA,91908.33
NH,649216.67
NY,196925
TX,123833.33
MD,526341.67
NY,116150
GA,151900
OH,87616.67
MN,225975
KS,143808.33
MT,353050
PA,84775
AL,114433.33
MS,103250
CT,267208.33
KS,141108.33
MN,191408.33
IA,169600
NC,283841.67
CA,327966.67
GA,137650
PA,404733.33
PA,153858.33
TX,63375
NY,502216.67
MO,121358.33
PA,663525
OK,149308.33
CA,540375
OH,126950
TX,618666.67
IN,148316.67
NJ,334416.67
NY,108008.33
MD,308591.67
NC,85550
CA,222558.33
CA,953716.67
PA,86666.67
NC,103050
IL,110883.33
GA,395308.33
IL,60875
ME,247141.67
PA,171508.33
NJ,328416.67
VA,66716.67
TN,136416.67
MI,117316.67
MN,237058.33
MO,144400
NJ,243041.67
TX,89241.67
WI,104466.67
IL,123283.33
CO,134616.67
MN,224975
MD,429441.67
MO,129591.67
AZ,272525
CA,172558.33
TX,157866.67
NY,386075
MI,103308.33
OK,109366.67
MS,135675
WA,442708.33
MA,632500
WY,193983.33
FL,301275
NY,360008.33
MD,115308.33
CO,412575
TX,424108.33
TX,78533.33
PA,252316.67
AL,105583.33
WI,383750
TX,137941.67
NY,280516.67
FL,350100
OH,202491.67
OH,85116.67
WI,201975
TX,191475
NM,190958.33
FL,282358.33
PA,166966.67
NH,207875
TN,214750
VA,96083.33
MA,363608.33
AL,100441.67
NE,125441.67
LA,133250
SC,88841.67
AR,143933.33
TX,101883.33
PA,177925
RI,306433.33
TN,105741.67
NY,320708.33
PA,176225
PA,287025
WI,196550
OH,142791.67
OK,35691.67
TX,234266.67
ID,195383.33
NY,114725
OH,183658.33
NY,322816.67
OH,177616.67
MI,136300
CA,164841.67
MI,81933.33
MI,148141.67
CA,163966.67
AR,146908.33
WA,465691.67
NC,284625
MA,462925
MS,107400
NH,458433.33
VA,291708.33
IL,83025
NY,326991.67
NY,178025
PA,154066.67
TX,140325
MA,301841.67
NC,230683.33
WI,179750
MA,283100
NJ,261958.33
RI,276925
PA,380683.33
WA,373700
MO,165225
FL,188633.33
NY,256391.67
CA,470025
NC,68866.67
VA,145258.33
