RegionID,RegionName,City,State,Metro,CountyName,SizeRank,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,Annual average
74242,37211,Nashville,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,18,256400,260200,263000,264400,265600,266600,267700,268500,270100,272000,273400,274300,266850.00
84620,60618,Chicago,IL,Chicago-Naperville-Elgin,Cook County,19,461300,465900,469400,470500,472700,473300,470300,466800,465700,465700,464900,464500,467583.33
61625,10011,New York,NY,New York-Newark-Jersey City,New York County,20,11946900,11704200,11241000,11010500,11271900,11562900,11499900,11372200,11173800,10683700,10256900,10161000,11157075.00
92036,77573,League City,TX,Houston-The Woodlands-Sugar Land,Galveston County,21,255300,258500,261000,262500,263700,264800,265700,267100,268400,269000,269400,270100,264625.00
92045,77584,Pearland,TX,Houston-The Woodlands-Sugar Land,Brazoria County,22,252300,254100,255900,257300,259200,261200,262500,263000,263000,263500,264700,265800,260208.33
61703,10128,New York,NY,New York-Newark-Jersey City,New York County,23,7406800,7456800,7494200,7529400,7534400,7494600,7417200,7395700,7265400,6917500,6562400,6429200,7241966.67
62012,11201,New York,NY,New York-Newark-Jersey City,Kings County,24,5181400,5177700,5181700,5127900,5062400,4995700,4918200,4887200,4838900,4731400,4625300,4581900,4942475.00
66126,20002,Washington,DC,Washington-Arlington-Alexandria,District of Columbia,25,678400,681500,684800,687700,691700,697300,702900,707100,712200,717600,721000,722900,700425.00
92271,78130,New Braunfels,TX,San Antonio-New Braunfels,Comal County,26,216900,219300,221500,223100,225400,227100,227600,227900,228600,228700,228600,229000,225308.33
69816,28269,Charlotte,NC,Charlotte-Concord-Gastonia,Mecklenburg County,27,193500,195900,197600,198300,198700,199500,200800,202300,204200,206600,208700,210100,201350.00
92551,78613,Cedar Park,TX,Austin-Round Rock,Williamson County,28,295700,296700,297500,297500,297300,297200,297000,297100,297800,299200,301500,304000,298208.33
92515,78572,Mission,TX,McAllen-Edinburg-Mission,Hidalgo County,29,100500,102300,104400,105700,106600,107100,107200,107300,107700,107900,108200,108600,106125.00
97771,94565,Pittsburg,CA,San Francisco-Oakland-Hayward,Contra Costa County,30,408400,412800,417700,421600,425900,429100,430200,429400,429400,428600,426100,423700,423575.00
93123,79912,El Paso,TX,El Paso,El Paso County,31,185000,185900,187200,188600,189800,190500,190600,190600,191100,191300,190800,190400,189316.67
71067,30349,Riverdale,GA,Atlanta-Sandy Springs-Roswell,Clayton County,32,124900,126300,126600,127200,128000,128100,127700,127700,128400,129500,131000,131900,128108.33
96027,90046,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,33,1931000,1935600,1932400,1935400,1941500,1948700,1938000,1916500,1899600,1894800,1892600,1893500,1921633.33
