State,Average Crime Rate,Labor Force,Unemployed,Total State Tax,Annual Home Price,Annual Wages per Employee,Crime Rate / Labor Force,Unemployed / Labor Force,Crime Rate WSA,Labor Force WSA,Unemployed WSA,Total State Tax WSA,Home Price WSA,Wages WSA,Total WSA
AK,289,356886,23510,1641733.0,310387.5,28173.0,0.08097823954988427,6.587537757154946,0.7768817204301075,0.003066313534463898,0.42484368788174487,0.16666666666666666,0.5092911641644104,0.10551448282061077,1.9862640354980041
WV,253,783351,41170,5417673.0,108900.0,30024.0,0.032297143936753765,5.255626149708113,0.6801075268817205,0.00673043989827516,0.7439733998337489,0.5499953402898035,0.1786857002215112,0.11244691130536391,2.271939318430423
MS,146,1275732,60737,7890571.0,112633.33,26700.0,0.011444409954441842,4.760952927417357,0.3924731182795699,0.01096090711865609,1.0975640608623367,0.8010408310405325,0.18481143654114365,0.09999775285948631,2.586848106701725
IA,169,1686848,42570,10088480.0,155470.83,32821.0,0.010018685738134081,2.5236417270554314,0.45430107526881713,0.014493157066915925,0.7692724709964219,1.0241697848147862,0.2551002215111986,0.12292233133337828,2.640259040991518
UT,145,1572137,48978,8038709.0,300758.33,26604.0,0.009223114779437162,3.1153773494294708,0.3897849462365591,0.013507576540215838,0.8850699338609997,0.8160796142450285,0.4934913938797276,0.09963821037729488,2.6975716751398258
DE,524,482465,18128,4219706.0,239100.0,40501.0,0.10860891463629486,3.7573710010052546,1.4086021505376343,0.004145270364780698,0.32758683002638334,0.4283792390926742,0.39232094511444743,0.15168572990869117,2.7127201650446113
KS,237,1482228,49835,9546790.0,117291.67,25004.0,0.015989442919712757,3.3621683033919205,0.6370967741935484,0.012735091254802246,0.9005565795655788,0.9691780981844591,0.1924549511854951,0.0936458356741047,2.805667330057988
HI,203,678735,16607,7714451.0,694550.0,44174.0,0.029908579931784866,2.446757571069711,0.5456989247311828,0.0058315941696069715,0.3001011962846507,0.7831613504347743,1.1396340963163507,0.16544197508670216,2.9398691370232677
NM,427,940362,46539,5671904.0,193387.5,30236.0,0.04540804498693057,4.94905153547251,1.1478494623655913,0.008079455982850377,0.8409953377426,0.5758045512475739,0.3173147920255968,0.11324090095353662,3.003284500317749
OK,254,1841876,62504,9563830.0,101575.0,27947.0,0.01379028772838128,3.3934966306092265,0.6827956989247311,0.01582513549874253,1.1294951028226534,0.970907977525375,0.16666666666666666,0.10466805989378515,3.070358641331954
