State,Average Crime Rate,Labor Force,Unemployed,Total State Tax,Annual Home Price,Annual Wages per Employee,Crime Rate / Labor Force,Unemployed / Labor Force,Crime Rate WSA,Labor Force WSA,Unemployed WSA,Total State Tax WSA,Home Price WSA,Wages WSA,Total WSA
IN,139,3381721,116142,19397879.0,130333.33,27005.0,0.0041103331705956815,3.4344051445994515,0.22419354838709676,0.017433158272525322,2.5185297625501466,2.3630978971611096,0.25662481909918783,0.12136805914473832,5.501247244614804
MN,134,3070229,89340,26697469.0,205158.33,32379.0,0.0043644952868336535,2.909880663624765,0.2161290322580645,0.0158273814102042,1.9373305865770356,3.2523521181580684,0.40395437853802607,0.1455203253859464,5.971113822327346
VA,173,4331384,128585,23489398.0,224033.33,28561.0,0.003994104424821258,2.9686816038476387,0.27903225806451615,0.02232877958030359,2.788355198959124,2.8615369247009106,0.4411190351956682,0.1283611604233613,6.520733356923884
AZ,353,3439758,166205,16293917.0,240816.67,37922.0,0.010262349851355821,4.831880614857208,0.5693548387096774,0.017732345640928144,3.6041418193646324,1.9849655211901085,0.47416523750922973,0.17043212512078382,6.82079188753536
MD,378,3197137,125484,22427037.0,308441.67,34346.0,0.011823077960062394,3.9248865469324588,0.6096774193548388,0.016481606655293798,2.721110267808739,2.7321174636801477,0.6073180802362786,0.15436057616682772,6.841065413902125
MA,392,3805451,127049,29654803.0,382825.0,42472.0,0.010301012941698632,3.338605594974157,0.6322580645161291,0.019617534853212246,2.7550471646969537,3.6126219062417584,0.7537779965542702,0.19088110379542034,7.964203770657744
WA,205,3793095,170797,26574889.0,337216.67,33883.0,0.005404557491968959,4.502840029052792,0.3306451612903226,0.01955383826096962,3.703718963460913,3.2374191174813447,0.6639757223726311,0.15227972405114493,8.107592526917326
GA,296,5107673,201255,23602510.0,157400.0,26552.0,0.005795202629455723,3.9402483283483494,0.47741935483870973,0.026330638102109616,4.364198200151795,2.8753165100537057,0.30991877922717204,0.11933214983932945,8.172515632212821
NC,269,4981845,194517,27855070.0,157200.0,30661.0,0.005399605969274436,3.9045173023247415,0.4338709677419355,0.02568198038045981,4.2180852217282885,3.393373953011848,0.3095249815407335,0.13779915058088585,8.51833625498415
MI,244,4902081,203231,30508361.0,147995.835,25883.0,0.004977477932331187,4.145810728137703,0.3935483870967742,0.025270787843745604,4.407047598395316,3.716604466134262,0.29140208712773813,0.11632547583200377,8.950198802429838
NJ,271,4422943,183376,35365046.0,340854.165,37819.0,0.006127142040944232,4.14601770811878,0.4370967741935484,0.022800776690140308,3.9764935487368533,4.308257920136831,0.6711379079497908,0.16996921417496236,9.585756141882126
OH,138,5754940,263349,29130040.0,133425.0,31392.0,0.002397939856888169,4.576051183852481,0.2225806451612903,0.029667373467204092,5.710701507101811,3.548693971553231,0.2627122815653458,0.14108447001190985,9.915440248860792
